Date,USEURSP
23/06/2009,1.40085
24/06/2009,1.40315
25/06/2009,1.39055
26/06/2009,1.40695
29/06/2009,1.40585
30/06/2009,1.40265
01/07/2009,1.4131
02/07/2009,1.40175
03/07/2009,1.40025
06/07/2009,1.39215
07/07/2009,1.40015
08/07/2009,1.38985
09/07/2009,1.39785
10/07/2009,1.39415
13/07/2009,1.3949
14/07/2009,1.39445
15/07/2009,1.40845
16/07/2009,1.41145
17/07/2009,1.41105
20/07/2009,1.42125
21/07/2009,1.42265
22/07/2009,1.4208
23/07/2009,1.42485
24/07/2009,1.42005
27/07/2009,1.4221
28/07/2009,1.41785
29/07/2009,1.40615
30/07/2009,1.40625
31/07/2009,1.41775
03/08/2009,1.4416
04/08/2009,1.43975
05/08/2009,1.4386
06/08/2009,1.43665
07/08/2009,1.4208
10/08/2009,1.41635
11/08/2009,1.41415
12/08/2009,1.42125
13/08/2009,1.42935
14/08/2009,1.42355
17/08/2009,1.40715
18/08/2009,1.41035
19/08/2009,1.42185
20/08/2009,1.42355
21/08/2009,1.4301
24/08/2009,1.432
25/08/2009,1.43285
26/08/2009,1.42315
27/08/2009,1.42275
28/08/2009,1.43735
31/08/2009,1.43505
01/09/2009,1.43035
02/09/2009,1.4238
03/09/2009,1.42585
04/09/2009,1.42335
07/09/2009,1.4336
08/09/2009,1.45145
09/09/2009,1.45815
10/09/2009,1.45645
11/09/2009,1.46125
14/09/2009,1.46305
15/09/2009,1.45985
16/09/2009,1.46875
17/09/2009,1.47445
18/09/2009,1.47225
21/09/2009,1.46565
22/09/2009,1.47925
23/09/2009,1.478
24/09/2009,1.4707
25/09/2009,1.4691
28/09/2009,1.46295
29/09/2009,1.45435
30/09/2009,1.4617
01/10/2009,1.45615
02/10/2009,1.4605
05/10/2009,1.4628
06/10/2009,1.47475
07/10/2009,1.46815
08/10/2009,1.47635
09/10/2009,1.47575
12/10/2009,1.48095
13/10/2009,1.4825
14/10/2009,1.49015
15/10/2009,1.49395
16/10/2009,1.48765
19/10/2009,1.49445
20/10/2009,1.4943
21/10/2009,1.49995
22/10/2009,1.50075
23/10/2009,1.5018
26/10/2009,1.49415
27/10/2009,1.48205
28/10/2009,1.47635
29/10/2009,1.48185
30/10/2009,1.47545
02/11/2009,1.48175
03/11/2009,1.46775
04/11/2009,1.48355
05/11/2009,1.48885
06/11/2009,1.4871
09/11/2009,1.50065
10/11/2009,1.4968
11/11/2009,1.49885
12/11/2009,1.48825
13/11/2009,1.48875
16/11/2009,1.49785
17/11/2009,1.48405
18/11/2009,1.49685
19/11/2009,1.48585
20/11/2009,1.48465
23/11/2009,1.498
24/11/2009,1.49475
25/11/2009,1.50545
26/11/2009,1.4987
27/11/2009,1.49775
30/11/2009,1.50135
01/12/2009,1.50935
02/12/2009,1.50755
03/12/2009,1.50875
04/12/2009,1.4889
07/12/2009,1.48285
08/12/2009,1.4735
09/12/2009,1.47455
10/12/2009,1.472
11/12/2009,1.4622
14/12/2009,1.46545
15/12/2009,1.45565
16/12/2009,1.45795
17/12/2009,1.4348
18/12/2009,1.4277
21/12/2009,1.43145
22/12/2009,1.4232
23/12/2009,1.43325
24/12/2009,1.4357
25/12/2009,1.4357
28/12/2009,1.43905
29/12/2009,1.44065
30/12/2009,1.4301
31/12/2009,1.43475
01/01/2010,1.43475
04/01/2010,1.44385
05/01/2010,1.44165
06/01/2010,1.43875
07/01/2010,1.43265
08/01/2010,1.43255
11/01/2010,1.45465
12/01/2010,1.454
13/01/2010,1.4508
14/01/2010,1.4474
15/01/2010,1.43685
18/01/2010,1.43845
19/01/2010,1.42815
20/01/2010,1.41155
21/01/2010,1.4055
22/01/2010,1.4129
25/01/2010,1.4156
26/01/2010,1.40575
27/01/2010,1.4041
28/01/2010,1.396
29/01/2010,1.38995
01/02/2010,1.38955
02/02/2010,1.39515
03/02/2010,1.39135
04/02/2010,1.378
05/02/2010,1.36705
08/02/2010,1.3701
09/02/2010,1.37355
